,close,high,low,open,time,volumefrom,volumeto,timestamp
42,31.48,33.86,31.0,33.37,1531324800,189258.78,6077945.2,2018-07-11 12:00:00
43,33.34,34.01,30.31,31.48,1531411200,265931.77,8580866.34,2018-07-12 12:00:00
44,32.28,34.37,31.5,33.34,1531497600,192308.61,6314056.3,2018-07-13 12:00:00
45,33.68,33.9,31.85,32.28,1531584000,108360.41,3574728.25,2018-07-14 12:00:00
46,36.49,36.85,33.0,33.68,1531670400,240842.28,8391117.13,2018-07-15 12:00:00
47,37.04,37.88,35.69,36.49,1531756800,213512.59,7809494.85,2018-07-16 12:00:00
48,39.22,40.52,36.53,37.04,1531843200,348582.1,13675009.13,2018-07-17 12:00:00
49,36.33,40.81,36.13,39.22,1531929600,245430.02,9326739.58,2018-07-18 12:00:00
50,34.11,36.69,33.23,36.33,1532016000,210970.67,7370453.21,2018-07-19 12:00:00
51,34.71,35.49,31.79,34.11,1532102400,211981.28,7071258.31,2018-07-20 12:00:00
52,34.46,35.32,33.6,34.71,1532188800,91186.93,3139550.09,2018-07-21 12:00:00
53,33.21,34.81,32.54,34.46,1532275200,172667.15,5817696.11,2018-07-22 12:00:00
54,34.19,35.75,31.2,33.21,1532361600,316309.89,10556486.78,2018-07-23 12:00:00
55,33.74,35.5,33.5,34.19,1532448000,178159.83,6099719.58,2018-07-24 12:00:00
56,34.46,35.67,33.61,33.74,1532534400,123454.62,4293210.45,2018-07-25 12:00:00
57,33.38,34.94,32.21,34.46,1532620800,138022.9,4593535.64,2018-07-26 12:00:00
58,32.81,33.91,32.62,33.38,1532707200,73773.08,2455538.3,2018-07-27 12:00:00
59,33.69,34.32,32.81,32.81,1532793600,57082.57,1927055.78,2018-07-28 12:00:00
60,32.27,33.78,32.25,33.69,1532880000,70339.98,2321735.22,2018-07-29 12:00:00
61,29.92,32.42,29.65,32.27,1532966400,197000.97,6118744.16,2018-07-30 12:00:00
62,29.82,30.71,28.6,29.92,1533052800,156230.26,4618074.57,2018-07-31 12:00:00
63,27.95,29.97,27.9,29.82,1533139200,128619.99,3717755.11,2018-08-01 12:00:00
64,27.71,28.47,26.63,27.95,1533225600,131050.53,3592113.51,2018-08-02 12:00:00
65,26.41,28.76,26.21,27.71,1533312000,158246.77,4350031.17,2018-08-03 12:00:00
66,27.0,27.32,26.15,26.41,1533398400,110516.96,2951673.23,2018-08-04 12:00:00
67,26.66,28.31,26.45,27.0,1533484800,153854.09,4219008.45,2018-08-05 12:00:00
68,26.97,27.88,25.67,26.66,1533571200,255010.6,6862506.66,2018-08-06 12:00:00
69,22.68,27.07,22.2,26.97,1533657600,358485.58,8734399.36,2018-08-07 12:00:00
70,22.07,22.84,20.79,22.68,1533744000,340431.93,7426750.29,2018-08-08 12:00:00
71,21.21,22.91,20.64,22.07,1533830400,217191.42,4743368.21,2018-08-09 12:00:00
72,17.86,21.21,17.2,21.21,1533916800,538438.85,10031053.25,2018-08-10 12:00:00
73,18.74,19.33,17.46,17.86,1534003200,304263.98,5711595.9,2018-08-11 12:00:00
74,17.65,19.1,17.55,18.74,1534089600,198003.42,3663706.35,2018-08-12 12:00:00
75,14.57,17.84,13.68,17.65,1534176000,869460.13,13211722.36,2018-08-13 12:00:00
76,16.79,17.24,14.09,14.57,1534262400,666793.07,10626300.17,2018-08-14 12:00:00
77,16.87,17.74,15.38,16.79,1534348800,575218.84,9481201.99,2018-08-15 12:00:00
78,18.29,18.6,15.61,16.87,1534435200,560733.29,9661863.74,2018-08-16 12:00:00
79,18.66,20.98,18.18,18.29,1534521600,783832.42,15244933.95,2018-08-17 12:00:00
80,20.08,20.98,17.59,18.66,1534608000,549114.91,10482486.0,2018-08-18 12:00:00
81,18.37,20.29,17.82,20.08,1534694400,443096.54,8429389.85,2018-08-19 12:00:00
82,17.44,19.04,16.48,18.37,1534780800,443413.12,7811644.83,2018-08-20 12:00:00
83,17.33,17.44,17.33,17.44,1534867200,27.85,485.34,2018-08-21 12:00:00
